Wedding Fair Id,Wedding Fair Name,Wedding Fair Owner Id,Email,Secondary Email,Created By,Modified By,Created Time,Modified Time,Last Activity Time,Currency,Exchange Rate,Wedding Fair Name,Wedding Fair Date,Wedding Fair Location,Email Opt Out,Layout
zcrm_1236681000002492039,San Rafael Embassy Suites Spring 2016 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,10/27/15 18:03,10/27/15 18:03,10/27/15 18:03,,,San Rafael Embassy Suites - Sunday April 10th,4/10/16,San Rafael Embassy Suites,FALSE,
zcrm_1236681000002492043,Levi's Stadium Spring 2016 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,10/27/15 18:04,11/13/15 16:04,11/13/15 16:04,,,Levi's Stadium March 20th 2016,3/20/16,Levi's Stadium,FALSE,
zcrm_1236681000002492047,Palo Alto Crowne Plaza Spring 2016 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,10/27/15 18:04,10/27/15 18:04,10/27/15 18:04,,,Palo Alto Crowne Plaza Spring 2015 Wedding Fair,5/1/16,Palo Alto Crowne Plaza,FALSE,
zcrm_1236681000003147001,Palo Alto Crowne Plaza Summer 2016 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,3/4/16 14:25,3/4/16 14:25,3/4/16 14:25,,,Palo Alto Crowne Plaza Summer 2016 Wedding Fair,8/21/16,Palo Alto Crowne Plaza,FALSE,
zcrm_1236681000003147005,Levi's Stadium Summer 2016 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,3/4/16 14:26,3/4/16 14:26,3/4/16 14:26,,,Levi's Stadium Summer 2016,6/26/16,Levi's Stadium,FALSE,
zcrm_1236681000003147009,Walnut Creek Marriott Summer 2016 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,3/4/16 14:31,3/4/16 14:31,3/4/16 14:31,,,Walnut Creek Marriott Summer 2016 Wedding Fair,7/24/16,Walnut Creek Marriott,FALSE,
zcrm_1236681000003147013,Pleasanton Doubletree Hilton Fall 2016 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,3/4/16 14:32,3/4/16 14:32,3/4/16 14:32,,,Pleasanton Doubletree Hilton - Fall 2016,11/13/16,Pleasanton Doubletree Hilton,FALSE,
zcrm_1236681000003211001,Walnut Creek Marriott Fall 2016 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,3/16/16 13:10,3/16/16 13:10,3/16/16 13:10,,,Walnut Creek Marriott Fall 2016 Wedding Fair,10/2/16,Walnut Creek Marriott,FALSE,
zcrm_1236681000003287009,Levi's Stadium Fall 2016 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,3/28/16 11:01,3/28/16 11:01,3/28/16 11:01,,,Levi's Stadium Fall 2016,,Levi's Stadium,FALSE,
zcrm_1236681000003287013,San Francisco Fall 2016 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,3/28/16 11:02,3/28/16 11:02,3/28/16 11:02,,,San Francisco Fall 2016 Wedding Fair,,N/A,FALSE,
